Original,,Adding Fish Sequences
Abudefduf vaigiensis,,Abudefduf vaigiensis
Anisotremus davidsonii,,Alphestes immaculatus
Atherinops affinis,,Anisotremus davidsonii
Balistes polylepis,,Atherinops affinis
Benthosema pterotum,,Axoclinus nigricaudus
Bodianus diplotaenia,,Benthosema pterotum
Bollmannia boqueronensis,,Bodianus diplotaenia
Brachygenys californiensis,,Bollmannia boqueronensis
Calamus brachysomus,,Brachygenys californiensis
Canthigaster janthinoptera,,Calamus brachysomus
Caranx crysos,,Canthigaster janthinoptera
Caranx hippos,,Caranx crysos
Cephalopholis colonus,,Caranx hippos
Chromis alta,,Cephalopholis colonus
Chromis atrilobata,,Cephalopholis panamensis
Cirrhitichthys oxycephalus,,Chromis alta
Cirrhitus pinnulatus,,Chromis atrilobata
Coryphaena hippurus,,Cirrhitichthys oxycephalus
Coryphopterus urospilus,,Cirrhitus rivulatus
Decapterus macarellus,,Coryphaena hippurus
Decapterus macrosoma,,Crocodilichthys gracilis
Diodon holocanthus,,Decapterus macarellus
Diodon hystrix,,Decapterus macrosoma
Engraulis mordax,,Diodon holocanthus
Entomacrodus caudofasciatus,,Diodon hystrix
Equetus lanceolatus,,Engraulis mordax
Euthynnus affinis,,Entomacrodus chiostictus
Girella simplicidens,,Equetus lanceolatus
Haemulon flaviguttatum,,Euthynnus affinis
Halichoeres dispilus,,Girella simplicidens
Harengula thrissina,,Gymnothorax castaneus
Hemanthias signifer,,Haemulon flaviguttatum
Hyporhamphus naos,,Halichoeres chierchiae
Hypsoblennius jenkinsi,,Halichoeres dispilus
Katsuwonus pelamis,,Harengula thrissina
Kyphosus analogus,,Hemanthias signifer
Kyphosus azureus,,Heteroconger digueti
Kyphosus ocyurus,,Hyporhamphus naos
Labrisomus xanti,,Hypsoblennius brevipinnis
Lutjanus argentiventris,,Katsuwonus pelamis
Lythrypnus dalli,,Kyphosus azureus
Malacoctenus triangulatus,,Kyphosus ocyurus
Microlepidotus inornatus,,Labrisomus xanti
Microspathodon dorsalis,,Lophogobius cyprinoides
Mulloidichthys vanicolensis,,Lutjanus argentiventris
Mycteroperca xenarcha,,Lythrypnus dalli
Myripristis pralinia,,Malacoctenus hubbsi
Opisthonema libertate,,Microlepidotus inornatus
Paralabrax auroguttatus,,Microspathodon dorsalis
Pentaceraster mammillatus,,Mulloidichthys vanicolensis
Platybelone argala,,Myripristis pralinia
Pomacanthus zonipectus,,Ophioblennius steindachneri
Pronotogrammus multifasciatus,,Opisthonema libertate
Scarus ghobban,,Paralabrax auroguttatus
Scarus guacamaia,,Pentaceraster mammillatus
Selar crumenophthalmus,,Platybelone argala
Sphoeroides annulatus,,Pomacanthus zonipectus
Sphoeroides lobatus,,Pronotogrammus multifasciatus
Stegastes rectifraenum,,Scarus ghobban
Synodus lacertinus,,Selar crumenophthalmus
Synodus lucioceps,,Serranus psittacinus
Thalassoma lucasanum,,Sphoeroides annulatus
Thunnus thynnus,,Sphoeroides lobatus
Trichiurus nitens,,Stegastes rectifraenum
Tursiops truncatus,,Synodus lacertinus
Umbrina roncador,,Synodus lucioceps
,,Thalassoma lucasanum
,,Thunnus thynnus
,,Tomicodon boehlkei
,,Trichiurus nitens
,,Tursiops truncatus
,,Umbrina roncador
,,Zalophus californianus