geozone,site name,lat,lon
34280007,Arrecife Este (Isla Las Animas),25 06.781,-110 30.441
34140006,Asubahi's Pinnacle - Isla Ildefanso,26 38.376,-111 25.712
31080013,Bob's Mistake (San Pedro Martir),28 23.039,-112 19.017
34140007,Booby Rock - Isla Ildefanso,26 37.858,-111 25.486
34150004,Cabeza de Gorila / Gorilla Head (Isla Coronado),26 08.183,-111 15.768
34300009,Cayo Island (near Isla Lobos) - Isla San Jose,24 52.389,-110 36.186
31080014,Chayo's Cave (San Pedro Martir),28 23.175,-112 18.704
34200010,Do It Again / North Tip of Isla Danzante,25 48.801,-111 15.578
31080009,El Arroyo - Biosphere Reserve Sign (San Pedro Martir),28 23.250,-112 18.051
31080016,El Corralito (San Pedro Martir),28 23.329,-112 18.157
21640202,El Lavadero (Las Animas),28 41.961,-112 54.223
35060038,Ensenada Grande Mobula Dive,24 33.590,-110 23.869
34200008,Honeymoon (Isla Danzante),25 48.600,-111 15.600
21640108,La Corona - Isla Salsipuedes,28 43.886,-112 57.437
34300004,La Lobera (Isla de San Francisquito),24 50.569,-110 36.317
21540101,La Muela Angel Rock (Angel de la Guarda),29 32.978,-113 32.845
41070001,La Reina,24 26.05,-109 58.02
21540501,La Vela Rock,29 31.877,-113 35.089
21540503,Las Ventana,29 13.0,-113 27.0
34150007,Lighthouse (Isla Coronado),26 06.328,-111 15.738
21540502,Lolo's Cove / Los Nidos Sud,29 32.448,-113 34.324
34140003,Los Gemelos - Isla Ildelfanso,26 38.285,-111 25.677
35060004,Los Islotes Arch,24 35.95,-110 24.02
35060017,Los Islotes Cave,24 35.839,-110 24.157
34300010,Parrotfish City (Reef East of Isla Coyote),24 51.217,-110 34.704
34150006,Piedra Blanca (Isla Coronado),26 08.263,-111 15.952
21550006,Punta Don Juan,28 57.570,-113 26.270
21800001,Punta El Pescador (near Alacran Bay),28 56.133,-113 22.917
34280006,Punta Norte (Isla Las Animas),24 57.132,-110 41.484
35060006,Roca Tintorera (La Partida Island),24 34.334,-110 24.860
34280004,Sea Lion Rock / La Cueva / The Cave (Isla Las Animas),25 06.909,-110 30.626
34200005,Silhouette (East side Isla Danzante),25 47.918,-111 14.796
34200004,Submarino (Isla Danzante),25 45.790,-111 14.649
35060009,Swanne / Suwannee Reef / Swanee River,24 23.536,-110 18.305